ID;DT_NOTIFIC;UMIDADE;TEMPERATURA;REGIAO
A428;09/11/2007;70;18,52;Ponta Grossa
A429;10/11/2007;52;20,63;Ponta Grossa
A430;11/11/2007;41;19,73;Ponta Grossa
A431;18/11/2007;47;20,17;Ponta Grossa
A432;19/11/2007;48;21,00;Ponta Grossa
A433;20/11/2007;31;21,80;Ponta Grossa
A434;21/11/2007;38;20,11;Ponta Grossa
A435;22/11/2007;34;17,02;Ponta Grossa
A436;23/11/2007;19;16,75;Ponta Grossa
A437;24/11/2007;15;18,11;Ponta Grossa
A438;25/11/2007;43;19,26;Ponta Grossa
A439;26/11/2007;51;19,41;Ponta Grossa
A440;27/11/2007;40;19,63;Ponta Grossa
A441;28/11/2007;29;19,06;Ponta Grossa
A442;29/11/2007;37;19,48;Ponta Grossa
A443;30/11/2007;27;19,49;Ponta Grossa
A444;01/12/2007;30;21,17;Ponta Grossa
A445;03/12/2007;31;23,22;Ponta Grossa
A446;04/12/2007;52;20,81;Ponta Grossa
A447;05/12/2007;64;19,57;Ponta Grossa
A448;07/12/2007;48;19,19;Ponta Grossa
A449;08/12/2007;49;21,22;Ponta Grossa
A450;09/12/2007;43;22,59;Ponta Grossa
A451;10/12/2007;48;22,78;Ponta Grossa
A452;11/12/2007;71;19,90;Ponta Grossa
A453;12/12/2007;86;17,63;Ponta Grossa
A454;13/12/2007;54;17,22;Ponta Grossa
A455;14/12/2007;60;17,29;Ponta Grossa
A456;15/12/2007;25;19,64;Ponta Grossa
A457;16/12/2007;33;20,52;Ponta Grossa
A458;18/12/2007;47;20,16;Ponta Grossa
A459;19/12/2007;51;18,82;Ponta Grossa
A460;21/12/2007;48;18,72;Ponta Grossa
A461;22/12/2007;31;20,17;Ponta Grossa
A462;23/12/2007;51;19,08;Ponta Grossa
A463;24/12/2007;51;18,99;Ponta Grossa
A464;25/12/2007;49;20,44;Ponta Grossa
A465;26/12/2007;69;18,77;Ponta Grossa
A466;27/12/2007;53;19,63;Ponta Grossa
A467;29/12/2007;34;23,45;Ponta Grossa
A468;30/12/2007;38;23,07;Ponta Grossa
A469;31/12/2007;54;20,52;Ponta Grossa
A470;01/01/2008;72;19,23;Ponta Grossa
